college_name,source
"HM001 Medical College, Kottayam BHMS",2019-course-collegedata.txt
MD025 Government Dental College Thrissur BDS,2019-course-collegedata.txt
"363 MM007 Govt. Medical College, Kottayam M.D. General Medicine 14 0",2019-course-collegedata.txt
"MM007 Govt. Medical College, Kottayam Leoprosy",2019-course-collegedata.txt
"MM007 Govt. Medical College, Kottayam Medicine",2019-course-collegedata.txt
"366 MM007 Govt. Medical College, Kottayam M.D. Biochemistry 2 0",2019-course-collegedata.txt
"370 MM007 Govt. Medical College, Kottayam M.D. Radiotherapy 2 0",2019-course-collegedata.txt
"371 MM007 Govt. Medical College, Kottayam M.D. Radiodiagnosis 1 0",2019-course-collegedata.txt
"372 MM007 Govt. Medical College, Kottayam M.D. Psychiatry 2 0",2019-course-collegedata.txt
"373 MM007 Govt. Medical College, Kottayam M Ch Paediatric Surgery 1 0",2019-course-collegedata.txt
"374 MM007 Govt. Medical College, Kottayam M Ch Neurosurgery 2 0",2019-course-collegedata.txt
"375 MM007 Govt. Medical College, Kottayam DM Nephrology 1 0",2019-course-collegedata.txt
"376 MM007 Govt. Medical College, Kottayam DM Neurology 1 0",2019-course-collegedata.txt
"MM007 Govt. Medical College, Kottayam Gastroenterology",2019-course-collegedata.txt
"MM007 Govt. Medical College, Kottayam Reconstructive Surgery",2019-course-collegedata.txt
"MM007 Govt. Medical College, Kottayam (DCH)",2019-course-collegedata.txt
"MM007 Govt. Medical College, Kottayam Laryngology (DLO)",2019-course-collegedata.txt
"MM007 Govt. Medical College, Kottayam Orthopaedics (D Ortho)",2019-course-collegedata.txt
"MM007 Govt. Medical College, Kottayam Ophthalmology (DO)",2019-course-collegedata.txt
"MM007 Govt. Medical College, Kottayam and Gynaecology (DGO)",2019-course-collegedata.txt
"MM007 Govt. Medical College, Kottayam Anaesthesiology (D.A.)",2019-course-collegedata.txt
"MM007 Govt. Medical College, Kottayam Surgery",2019-course-collegedata.txt
"386 MM007 Govt. Medical College, Kottayam DM Cardiology 4 0",2019-course-collegedata.txt
"MM007 Govt. Medical College, Kottayam and Rehabilitation",2019-course-collegedata.txt
"388 MM007 Govt. Medical College, Kottayam M.D. Pharmacology 2 0",2019-course-collegedata.txt
