college_name,possible_intake,source
Sl College Additional,,2019-course-collegedata.txt
College Name Course Name Intake,,2019-course-collegedata.txt
"Ahalia Ayurveda Medical College,",,2019-course-collegedata.txt
"Govt. Ayurveda College, Diploma in Rog Nidan",,2019-course-collegedata.txt
"Govt. Ayurveda College,",,2019-course-collegedata.txt
"Govt. Ayurveda College, MD Rog Nidan Avum",,2019-course-collegedata.txt
"Govt. Ayurveda College, MS Shalya Tantra -",,2019-course-collegedata.txt
"Govt. Ayurveda College, MD Dravyaguna",,2019-course-collegedata.txt
"Govt. Ayurveda College, MD Rasashastra &",,2019-course-collegedata.txt
"Govt. Ayurveda College, Ayurveda Dhanvantari -",,2019-course-collegedata.txt
"Govt. Ayurveda College, Diploma in Rasayan and",,2019-course-collegedata.txt
"Govt. Ayurveda College, Shastra & Bhaishajya",,2019-course-collegedata.txt
"Govt. Ayurveda College, Diploma in Prasuti &",,2019-course-collegedata.txt
"Govt. Ayurveda College, Diploma in Netra Roga",,2019-course-collegedata.txt
"Govt. Ayurveda College, Diploma in",,2019-course-collegedata.txt
"Govt. Ayurveda College, Kshar Karma Avum",,2019-course-collegedata.txt
"Govt. Ayurveda College, Shiro Nasa Karna Avum",,2019-course-collegedata.txt
"Govt. Ayurveda College, MS Shalakya Tantra -",,2019-course-collegedata.txt
"Govt. Ayurveda College, Diploma in Manasik",,2019-course-collegedata.txt
"KMCT Ayurveda Medical College,",,2019-course-collegedata.txt
"AM006 Medical College, Pandalam Vigyana",006,2019-course-collegedata.txt
"AM006 Medical College, Pandalam BAMS",006,2019-course-collegedata.txt
"Nangelil Ayurveda Medical College,",,2019-course-collegedata.txt
"AM008 Medical College, Kasargod BAMS",008,2019-course-collegedata.txt
"AM009 College, Thiruvananthapuram BAMS",009,2019-course-collegedata.txt
"AM009 College, Thiruvananthapuram MD Kayachikitsa",009,2019-course-collegedata.txt
"AM009 College, Thiruvananthapuram Samanya",009,2019-course-collegedata.txt
"AM009 College, Thiruvananthapuram Shalya",009,2019-course-collegedata.txt
"AM009 College, Thiruvananthapuram MD Ayurveda Sidhanta",009,2019-course-collegedata.txt
"AM010 College,Parassinikkadavu BAMS",010,2019-course-collegedata.txt
"AM010 College,Parassinikkadavu MD Agad Tantra",010,2019-course-collegedata.txt
"AM010 College,Parassinikkadavu Bhaishajya Kalpana",010,2019-course-collegedata.txt
"AM010 College,Parassinikkadavu MD Panchkarma",010,2019-course-collegedata.txt
"PNNM Ayurveda Medical College, MS Shalya Tantra -",,2019-course-collegedata.txt
"PNNM Ayurveda Medical College,",,2019-course-collegedata.txt
"PNNM Ayurveda Medical College, Ayurveda Dhanvantari -",,2019-course-collegedata.txt
"Santhigiri Ayurveda Medical College,",,2019-course-collegedata.txt
Sree Narayana Institute of Ayurvedic,,2019-course-collegedata.txt
